Row,Col,Corr
139,Firmicutes_Dehalobacterium,Bacteroidetes_5.7N15,0.989414977
140,Proteobacteria_Delftia,Bacteroidetes_5.7N15,-0.056446685
141,Actinobacteria_Dermatophilus,Bacteroidetes_5.7N15,-0.041666667
142,Proteobacteria_Desulfovibrio,Bacteroidetes_5.7N15,-0.009117124
143,Firmicutes_Dialister,Bacteroidetes_5.7N15,0.009736955
144,Firmicutes_Dorea,Bacteroidetes_5.7N15,-0.082651734
145,Bacteroidetes_Dysgonomonas,Bacteroidetes_5.7N15,-0.049221751
146,Actinobacteria_Eggerthella,Bacteroidetes_5.7N15,-0.184660815
147,Proteobacteria_Eikenella,Bacteroidetes_5.7N15,-0.162121419
148,Proteobacteria_Enhydrobacter,Bacteroidetes_5.7N15,-0.041666667
149,Firmicutes_Enterococcus,Bacteroidetes_5.7N15,-0.15184647
150,Firmicutes_Epulopiscium,Bacteroidetes_5.7N15,-0.093484263
151,Firmicutes_Eubacterium,Bacteroidetes_5.7N15,0.1026837
152,Firmicutes_Filifactor,Bacteroidetes_5.7N15,-0.041666667
153,Firmicutes_Finegoldia,Bacteroidetes_5.7N15,-0.083426968
154,Fusobacteria_Fusobacterium,Bacteroidetes_5.7N15,-0.271190402
155,Proteobacteria_Haemophilus,Bacteroidetes_5.7N15,-0.223235016
156,Proteobacteria_Helicobacter,Bacteroidetes_5.7N15,0.112722253
157,Firmicutes_Holdemania,Bacteroidetes_5.7N15,0.043694767
158,Proteobacteria_Kingella,Bacteroidetes_5.7N15,-0.074554739
159,Firmicutes_Lachnospira,Bacteroidetes_5.7N15,-0.083051003
160,Firmicutes_Lactobacillus,Bacteroidetes_5.7N15,0.103749713
161,Firmicutes_Lactococcus,Bacteroidetes_5.7N15,-0.084760758
162,Proteobacteria_Lautropia,Bacteroidetes_5.7N15,-0.10300718
163,Fusobacteria_Leptotrichia,Bacteroidetes_5.7N15,-0.127449179
164,Firmicutes_Macrococcus,Bacteroidetes_5.7N15,-0.041666667
165,Firmicutes_Megamonas,Bacteroidetes_5.7N15,0.117055891
166,Firmicutes_Megasphaera,Bacteroidetes_5.7N15,0.298383299
167,Euryarchaeota_Methanobrevibacter,Bacteroidetes_5.7N15,0.864938044
168,Firmicutes_Mitsuokella,Bacteroidetes_5.7N15,-0.057379039
169,Firmicutes_Mogibacterium,Bacteroidetes_5.7N15,-0.086088706
170,Firmicutes_Moryella,Bacteroidetes_5.7N15,-0.120884594
171,Proteobacteria_Neisseria,Bacteroidetes_5.7N15,-0.159233085
172,Bacteroidetes_Odoribacter,Bacteroidetes_5.7N15,0.317382197
173,Firmicutes_Oscillospira,Bacteroidetes_5.7N15,0.177090622
174,Proteobacteria_Oxalobacter,Bacteroidetes_5.7N15,0.383000824
175,Bacteroidetes_Paraprevotella,Bacteroidetes_5.7N15,-0.002725234
176,Firmicutes_Parvimonas,Bacteroidetes_5.7N15,-0.006748755
177,Firmicutes_Peptoniphilus,Bacteroidetes_5.7N15,-0.060120703
178,Firmicutes_Peptostreptococcus,Bacteroidetes_5.7N15,-0.204649599
179,Firmicutes_Phascolarctobacterium,Bacteroidetes_5.7N15,0.042828247
180,Bacteroidetes_Porphyromonas,Bacteroidetes_5.7N15,-0.119714674
181,Bacteroidetes_Prevotella,Bacteroidetes_5.7N15,0.091967501
182,Actinobacteria_Propionicimonas,Bacteroidetes_5.7N15,-0.041666667
183,Proteobacteria_Proteus,Bacteroidetes_5.7N15,-0.08196563
184,Proteobacteria_Pseudomonas,Bacteroidetes_5.7N15,-0.087965853
185,Firmicutes_Pseudoramibacter,Bacteroidetes_5.7N15,0.14748441
186,Synergistetes_Pyramidobacter,Bacteroidetes_5.7N15,-0.069719588
187,Firmicutes_Roseburia,Bacteroidetes_5.7N15,-0.072372364
188,Actinobacteria_Rothia,Bacteroidetes_5.7N15,-0.203119529
189,Firmicutes_Ruminococcus,Bacteroidetes_5.7N15,0.22809557
190,Actinobacteria_Scardovia,Bacteroidetes_5.7N15,-0.094688004
191,Firmicutes_Schwartzia,Bacteroidetes_5.7N15,-0.145489979
192,Firmicutes_Sedimentibacter,Bacteroidetes_5.7N15,-0.041666667
193,Firmicutes_Selenomonas,Bacteroidetes_5.7N15,-0.209526846
194,Chloroflexi_SHD.231,Bacteroidetes_5.7N15,-0.05529005
195,Actinobacteria_Slackia,Bacteroidetes_5.7N15,-0.137822852
196,Spirochaetes_Sphaerochaeta,Bacteroidetes_5.7N15,0.845466909
197,Firmicutes_Staphylococcus,Bacteroidetes_5.7N15,-0.098997252
198,Firmicutes_Streptococcus,Bacteroidetes_5.7N15,-0.188091706
199,Proteobacteria_Sutterella,Bacteroidetes_5.7N15,0.462343651
200,Synergistetes_TG5,Bacteroidetes_5.7N15,-0.09621332
201,Firmicutes_Turicibacter,Bacteroidetes_5.7N15,-0.126082707
202,Firmicutes_Veillonella,Bacteroidetes_5.7N15,-0.356557975
203,Firmicutes_WAL_1855D,Bacteroidetes_5.7N15,-0.069724218
204,Firmicutes_Acidaminococcus,Firmicutes_Abiotrophia,-0.124053547
205,Proteobacteria_Acinetobacter,Firmicutes_Abiotrophia,0.104891833
206,Proteobacteria_Actinobacillus,Firmicutes_Abiotrophia,0.418019185
207,Actinobacteria_Actinomyces,Firmicutes_Abiotrophia,0.365811076
208,Actinobacteria_Adlercreutzia,Firmicutes_Abiotrophia,0.162658641
209,Proteobacteria_Aggregatibacter,Firmicutes_Abiotrophia,0.074018003
210,Verrucomicrobia_Akkermansia,Firmicutes_Abiotrophia,0.10864818
211,Firmicutes_Anaerococcus,Firmicutes_Abiotrophia,0.225902747
212,Firmicutes_Anaerofustis,Firmicutes_Abiotrophia,0.359197848
213,Firmicutes_Anaerostipes,Firmicutes_Abiotrophia,-0.177183697
214,Firmicutes_Anaerotruncus,Firmicutes_Abiotrophia,0.026364914
215,Firmicutes_Anaerovorax,Firmicutes_Abiotrophia,0.28139725
216,Actinobacteria_Atopobium,Firmicutes_Abiotrophia,0.344011091
217,Proteobacteria_Azospira,Firmicutes_Abiotrophia,-0.161601518
218,Bacteroidetes_Bacteroides,Firmicutes_Abiotrophia,-0.154675305
219,Actinobacteria_Bifidobacterium,Firmicutes_Abiotrophia,0.007284087
220,Proteobacteria_Bilophila,Firmicutes_Abiotrophia,0.075137747
221,Firmicutes_Blautia,Firmicutes_Abiotrophia,0.125718535
222,Proteobacteria_Brevundimonas,Firmicutes_Abiotrophia,0.175095309
223,Firmicutes_Bulleidia,Firmicutes_Abiotrophia,0.167503887
224,Proteobacteria_Burkholderia,Firmicutes_Abiotrophia,0.615445059
225,Bacteroidetes_Butyricimonas,Firmicutes_Abiotrophia,-0.1851559
226,Firmicutes_Butyrivibrio,Firmicutes_Abiotrophia,0.162945136
227,Proteobacteria_Campylobacter,Firmicutes_Abiotrophia,0.01428683
228,Bacteroidetes_Capnocytophaga,Firmicutes_Abiotrophia,-0.0703032
229,Firmicutes_Catenibacterium,Firmicutes_Abiotrophia,0.147188797
230,Firmicutes_cc_115,Firmicutes_Abiotrophia,0.175095309
231,Bacteroidetes_CF231,Firmicutes_Abiotrophia,-0.12925025
232,Firmicutes_Christensenella,Firmicutes_Abiotrophia,0.291933983
233,Firmicutes_Clostridium,Firmicutes_Abiotrophia,0.09647526
234,Actinobacteria_Collinsella,Firmicutes_Abiotrophia,0.134232729
235,Proteobacteria_Comamonas,Firmicutes_Abiotrophia,-0.12925025
236,Firmicutes_Coprobacillus,Firmicutes_Abiotrophia,-0.199118437
237,Firmicutes_Coprococcus,Firmicutes_Abiotrophia,0.107861829
238,Actinobacteria_Corynebacterium,Firmicutes_Abiotrophia,0.30382007
239,Firmicutes_Dehalobacterium,Firmicutes_Abiotrophia,-0.147436605
240,Proteobacteria_Delftia,Firmicutes_Abiotrophia,-0.175097957
241,Actinobacteria_Dermatophilus,Firmicutes_Abiotrophia,0.175095309
242,Proteobacteria_Desulfovibrio,Firmicutes_Abiotrophia,0.06346483
243,Firmicutes_Dialister,Firmicutes_Abiotrophia,0.071505838
244,Firmicutes_Dorea,Firmicutes_Abiotrophia,0.302226778
245,Bacteroidetes_Dysgonomonas,Firmicutes_Abiotrophia,-0.06251837
246,Actinobacteria_Eggerthella,Firmicutes_Abiotrophia,0.17281726
247,Proteobacteria_Eikenella,Firmicutes_Abiotrophia,0.190972415
248,Proteobacteria_Enhydrobacter,Firmicutes_Abiotrophia,0.126165027
249,Firmicutes_Enterococcus,Firmicutes_Abiotrophia,0.562311142
250,Firmicutes_Epulopiscium,Firmicutes_Abiotrophia,0.012594131
251,Firmicutes_Eubacterium,Firmicutes_Abiotrophia,0.047706749
252,Firmicutes_Filifactor,Firmicutes_Abiotrophia,-0.12925025
253,Firmicutes_Finegoldia,Firmicutes_Abiotrophia,0.136883699
254,Fusobacteria_Fusobacterium,Firmicutes_Abiotrophia,0.058091358
255,Proteobacteria_Haemophilus,Firmicutes_Abiotrophia,0.087095266
256,Proteobacteria_Helicobacter,Firmicutes_Abiotrophia,-0.176865776
257,Firmicutes_Holdemania,Firmicutes_Abiotrophia,-0.119509923
258,Proteobacteria_Kingella,Firmicutes_Abiotrophia,-0.044350222
259,Firmicutes_Lachnospira,Firmicutes_Abiotrophia,-0.045273669
260,Firmicutes_Lactobacillus,Firmicutes_Abiotrophia,0.046767593
261,Firmicutes_Lactococcus,Firmicutes_Abiotrophia,-0.092749551
262,Proteobacteria_Lautropia,Firmicutes_Abiotrophia,0.59527413
263,Fusobacteria_Leptotrichia,Firmicutes_Abiotrophia,0.070898468
264,Firmicutes_Macrococcus,Firmicutes_Abiotrophia,0.175095309
265,Firmicutes_Megamonas,Firmicutes_Abiotrophia,-0.128652654
266,Firmicutes_Megasphaera,Firmicutes_Abiotrophia,0.03690164
267,Euryarchaeota_Methanobrevibacter,Firmicutes_Abiotrophia,0.247464867
