# Constructed from biom file
#OTU ID	HBT-12	ZR7-18	ZR9-19	ZR9-18	ZR9-11	ZR9-16	ZR9-15	ZR9-14	N39	ZR4-16	ZR4-12	ZR4-19	ZR4-76	ZR4-77	ZR4-79	ZR4-89	ZR4-15	ZR4-82	ZR4-81	HBV-11	HBV-12	ZR4-84	ZR4-67	ZR4-68	ZR4-52	ZR4-53	ZR4-54	ZR4-57	ZR4-39	ZR4-30	ZR4-46	ZR4-45	ZR4-44	ZR4-41	HBT-8	ZR9-7	ZR9-4	N72	HBV-68	HBV-64	HBV-61	ZR9-3	ZR9-1	ZR4-36	ZR9-5	ZR4-35	ZR9-20	N41	N43	N42	N44	ZR7-9	ZR7-8	HBV-52	ZR7-6	ZR4-28	ZR4-23	ZR4-22	ZR4-26	HBV-46	IMT17	ZR7-11	ZR4-2	ZR9-10	zsb1122	HBV-56	ZR7-22	ZR7-15	ZR7-1	ZR4-14	ZR4-69	ZR4-38	ZR4-33	HBV-22	HBV-59	HBV-5	ZR9-17	ZR4-55	ZR7-16	ZR9-13	ZR7-20	ZR4-63	ZR4-59	ZR9-2	ZR4-31	ZR9-21	zqq1205	ZR7-7	ZR4-27	ZR7-17	ZR9-9	ZR9-8	ZR7-12	ZR7-13	ZR9-12	ZR9-6	taxonomy
OTU_287	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	235	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__un_f_Ruminococcaceae; OTU_287
OTU_288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	274	0	0	0	0	0	3	0	0	0	0	1	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; OTU_288
OTU_289	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Elusimicrobia; c__Elusimicrobia; o__Elusimicrobiales; f__Elusimicrobiaceae; g__un_f_Elusimicrobiaceae; OTU_289
OTU_29	226	22	39	19	1105	95	85	108	36	1009	2	298	0	1	986	1038	330	71	5	147	0	1926	837	285	293	577	260	51	10	83	361	793	60	108	596	205	89	207	434	323	281	41	11	475	1	325	2	64	349	133	24	2	0	7	61	105	607	65	4	152	76	1	0	436	61	0	735	3	1	2	4	2	355	202	0	269	28	3	2	34	0	2	4	9	0	0	111	130	1	0	0	0	0	0	1	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__un_f_Ruminococcaceae; OTU_29
OTU_290	0	31	0	1	0	14	0	0	13	5	0	3	0	0	28	24	0	47	63	0	0	0	0	0	0	1	0	0	51	0	18	7	1	0	0	2	0	6	0	4	3	2	13	7	18	0	65	18	43	0	116	0	6	0	8	100	0	33	0	98	0	0	0	0	17	0	0	0	1	0	0	0	2	0	0	14	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__un_f_Lachnospiraceae; OTU_290
OTU_291	0	0	5	0	0	0	0	53	0	0	0	0	0	0	0	0	77	23	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	4	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides; OTU_291
OTU_292	0	0	5	0	6	9	55	1	1	19	0	0	0	0	0	6	14	8	0	0	0	0	13	5	3	1	4	2	1	2	9	5	0	0	3	4	0	2	0	0	2	6	1	0	0	8	0	5	1	2	7	0	0	26	6	0	27	0	0	0	4	0	0	16	2	3	3	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__un_f_Clostridiaceae; OTU_292
OTU_293	0	30	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	22	2	0	22	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	29	1	0	7	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; OTU_293
OTU_294	19	0	3	3	8	0	5	0	10	34	0	24	0	0	8	5	41	2	0	46	0	12	5	21	1	14	17	0	0	1	9	0	0	0	3	4	0	14	0	0	21	6	2	41	0	4	0	77	14	8	22	0	5	0	0	0	23	0	24	3	6	0	2	2	3	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__un_f_Ruminococcaceae; OTU_294
OTU_295	0	0	0	0	0	0	0	0	0	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; OTU_295
OTU_296	98	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Catenibacterium; OTU_296
OTU_297	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	144	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Tissierellaceae; g__WAL_1855D; OTU_297
OTU_298	11	7	10	19	4	0	1	97	0	65	0	12	0	0	0	0	1	24	0	0	102	0	0	10	0	0	6	0	0	0	0	0	0	0	0	0	31	151	0	0	46	1	0	1	0	0	0	1	0	8	0	0	0	0	0	16	30	0	0	4	122	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	14	0	3	0	0	1	0	1	0	12	22	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__un_f_Lachnospiraceae; OTU_298
OTU_299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__un_f_S24-7; OTU_299
OTU_3	2	2123	5234	5608	2504	312	4023	2122	595	32	2905	3159	2	1	23	45	646	11	251	21	1903	4322	179	269	586	2	252	0	2674	4545	1110	888	899	63	2250	118	4176	2120	378	586	0	1881	5	313	7	17	11250	32	10767	1152	7633	2084	4026	431	1412	10	2355	1431	2570	1595	7160	1607	3317	3969	171	1167	1248	931	2692	2	100	20	50	7	0	2997	2287	639	882	11	6469	32	443	7288	4	2	643	139	476	1	5736	10889	4	1	1218	4	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Phascolarctobacterium; OTU_3
OTU_30	219	31	0	20	28	122	10	182	55	167	687	49	13	12	154	32	191	190	16	78	1	41	64	117	23	118	124	38	517	29	62	232	3399	57	215	16	69	49	141	139	51	50	15	132	82	47	71	635	496	100	406	1	0	1	30	96	387	5	489	72	14	118	375	69	1	1160	7	0	86	44	113	12	0	98	76	6	39	2	0	253	7	28	480	90	246	3	29	13	238	0	0	37	2024	0	1645	17	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Dorea; OTU_30
