Sample,Category,g__Anaerostipes,g__Prevotella,g__Parabacteroides,g__un_f_Ruminococcaceae,g__un_f_Lachnospiraceae,g__Phascolarctobacterium,g__Ruminococcus,g__Blautia,g__un_o_Clostridiales,g__Coprococcus,g__un_f_Barnesiellaceae,g__Odoribacter,g__Bilophila,g__Roseburia,g__un_f_Clostridiaceae,g__Lachnospira,g__Dorea,g__Butyricimonas,g__Desulfovibrio,g__Dialister,g__Megasphaera,g__Oscillospira,g__un_f_Rikenellaceae,g__Bifidobacterium,g__un_f_S24_7,g__Clostridium,g__Lactobacillus,g__Collinsella,g__Paraprevotella,g__Megamonas,g__Veillonella,g__Fusobacterium,g__Sutterella,g__Streptococcus,g__un_f_Enterobacteriaceae,g__Haemophilus,g__Bacteroides
ZR4_16,HBVI,168,3717,816,9643,7502,52,1944,2228,2839,2202,787,273,109,211,2245,807,1289,100,227,1150,39,438,400,18,254,96,6,52,0,4,291,8,619,681,3761,1223,17056
ZR4_19,HBVI,1,14,1195,5472,5865,5009,2624,1985,1483,358,66,58,27,283,5358,441,1482,77,51,2,32,1472,598,821,1,396,0,615,480,3,587,156,229,51,5736,30,18071
ZR4_52,HBVI,15,41719,399,5010,2279,1136,261,1197,237,922,171,171,50,81,108,283,150,78,6,1532,1403,170,118,315,745,715,8,440,200,9,4779,106,1089,269,4451,218,5476
ZR4_54,HBVI,195,338,577,8019,9013,381,4939,1382,2163,1712,374,277,18,1347,1262,654,551,246,22,635,3,187,390,25,1069,827,25,186,595,11,22,3,113,16,113,17,19142
ZR4_68,HBVI,217,329,802,9128,8861,437,5331,1401,2546,1740,506,434,36,1367,1487,649,623,323,43,926,7,250,558,24,1459,946,9,193,777,7,16,2,147,20,82,22,21622
ZR4_76,HBVI,0,115,6494,413,3691,4,2816,1248,39,450,1,1,0,0,10550,3,370,2,0,62,16,2777,0,482,6,606,12,1,0,0,25270,65,3,290,7854,4600,68633
ZR4_81,HBVI,27,13,507,10308,12002,598,730,703,323,403,6,167,87,430,71,1404,96,288,1,709,3,442,524,721,0,107,4,0,0,15348,31,8,679,19,3670,21,43806
ZR4_82,HBVI,28,11175,2031,11864,6386,333,2387,4040,1276,2408,30,561,19,211,32,789,972,486,33,7568,1,623,765,162,4047,663,13,1712,1111,11,79,3,92,559,18221,117,8837
ZR4_84,HBVI,597,82,1367,23394,4376,13466,2161,1812,4776,684,632,599,106,202,737,815,273,241,1,8,0,219,282,77,3,360,2,163,1,16,38,0,466,33,2570,18,60753
ZR4_89,HBVI,195,30412,1375,11762,4063,92,1243,1779,1335,2436,0,162,28,429,1383,517,216,53,0,3619,0,381,640,45,2,517,61,2176,511,1494,18,0,113,48,74,44,4626
