No,Healthy,HBVI,CHB,LC
529,OTU_402,OTU_962,OTU_301,OTU_307
530,OTU_1120,OTU_842,OTU_663,OTU_131
531,OTU_942,OTU_700,OTU_854,OTU_151
532,OTU_575,OTU_684,OTU_374,OTU_685
533,OTU_815,OTU_744,OTU_655,OTU_459
534,OTU_656,OTU_153,OTU_1132,OTU_221
535,OTU_872,OTU_640,OTU_1079,OTU_700
536,OTU_463,OTU_472,OTU_314,OTU_153
537,OTU_106,OTU_555,OTU_501,OTU_640
538,OTU_725,OTU_286,OTU_675,OTU_555
539,OTU_1122,OTU_381,OTU_1204,OTU_699
540,OTU_838,OTU_699,OTU_327,OTU_415
541,OTU_826,OTU_392,OTU_420,OTU_643
542,OTU_692,OTU_415,OTU_669,OTU_190
543,OTU_385,OTU_643,OTU_1152,OTU_335
544,OTU_217,OTU_190,OTU_1129,OTU_938
545,OTU_145,OTU_796,OTU_978,OTU_1192
546,OTU_388,OTU_335,OTU_598,OTU_1097
547,OTU_137,OTU_1167,OTU_668,OTU_733
548,OTU_180,OTU_950,OTU_533,OTU_396
549,OTU_1147,OTU_938,OTU_630,OTU_328
550,OTU_1075,OTU_764,OTU_591,OTU_905
551,OTU_837,OTU_1192,OTU_1181,OTU_964
552,OTU_1060,OTU_756,OTU_965,OTU_208
553,OTU_484,OTU_766,OTU_603,OTU_414
554,OTU_1178,OTU_1038,OTU_102,OTU_361
555,OTU_755,OTU_909,OTU_406,OTU_872
556,OTU_257,OTU_1097,OTU_889,OTU_725
557,OTU_408,OTU_733,OTU_258,OTU_1122
558,OTU_568,OTU_841,OTU_422,OTU_826
559,OTU_882,OTU_396,OTU_138,OTU_692
560,OTU_809,OTU_627,OTU_307,OTU_217
561,OTU_359,OTU_328,OTU_1116,OTU_145
562,OTU_354,OTU_905,OTU_131,OTU_388
563,OTU_1074,OTU_964,OTU_220,OTU_137
564,OTU_811,OTU_951,OTU_421,OTU_1060
565,OTU_452,OTU_208,OTU_151,OTU_484
566,OTU_574,OTU_1068,OTU_685,OTU_1178
567,OTU_736,OTU_741,OTU_459,OTU_257
568,OTU_379,OTU_361,OTU_645,OTU_408
569,OTU_996,OTU_402,OTU_221,OTU_568
570,OTU_661,OTU_942,OTU_842,OTU_809
571,OTU_170,OTU_575,OTU_700,OTU_359
572,OTU_276,OTU_656,OTU_684,OTU_354
573,OTU_479,OTU_463,OTU_153,OTU_1074
574,OTU_355,OTU_106,OTU_640,OTU_811
575,OTU_512,OTU_725,OTU_472,OTU_452
576,OTU_373,OTU_838,OTU_555,OTU_574
577,OTU_184,OTU_826,OTU_381,OTU_382
578,OTU_1127,OTU_692,OTU_392,OTU_736
579,OTU_447,OTU_145,OTU_415,OTU_557
580,OTU_371,OTU_388,OTU_190,OTU_379
581,OTU_311,OTU_137,OTU_335,OTU_996
582,OTU_562,OTU_180,OTU_938,OTU_265
583,OTU_740,OTU_837,OTU_1192,OTU_276
584,OTU_400,OTU_1060,OTU_766,OTU_373
585,OTU_387,OTU_484,OTU_1097,OTU_1127
586,OTU_281,OTU_1178,OTU_396,OTU_400
587,OTU_541,OTU_755,OTU_328,OTU_387
588,OTU_698,OTU_257,OTU_905,OTU_281
589,OTU_343,OTU_408,OTU_964,OTU_912
590,OTU_585,OTU_568,OTU_951,OTU_585
591,OTU_223,OTU_882,OTU_414,OTU_223
592,OTU_564,OTU_809,OTU_361,OTU_564
593,OTU_495,OTU_359,OTU_725,OTU_495
594,OTU_367,OTU_354,OTU_826,OTU_367
595,OTU_410,OTU_1074,OTU_692,OTU_410
596,OTU_898,OTU_811,OTU_385,OTU_310
597,OTU_310,OTU_452,OTU_217,OTU_454
598,OTU_454,OTU_574,OTU_145,OTU_540
599,OTU_540,OTU_382,OTU_388,OTU_830
600,OTU_830,OTU_736,OTU_137,OTU_337
601,OTU_904,OTU_557,OTU_1147,OTU_121
602,OTU_1051,OTU_379,OTU_837,OTU_196
603,OTU_337,OTU_996,OTU_1060,OTU_523
604,OTU_992,OTU_661,OTU_484,OTU_681
605,OTU_638,OTU_265,OTU_1178,OTU_516
606,OTU_587,OTU_377,OTU_257,OTU_380
607,OTU_333,OTU_170,OTU_408,OTU_139
608,OTU_121,OTU_276,OTU_568,OTU_493
609,OTU_792,OTU_727,OTU_882,OTU_1102
610,OTU_565,OTU_479,OTU_809,OTU_846
611,OTU_196,OTU_355,OTU_359,OTU_1022
612,OTU_523,OTU_512,OTU_354,OTU_795
613,OTU_542,OTU_373,OTU_1074,OTU_502
614,OTU_1115,OTU_184,OTU_811,OTU_738
615,OTU_681,OTU_1127,OTU_452,OTU_227
616,OTU_380,OTU_447,OTU_574,OTU_576
617,OTU_242,OTU_371,OTU_382,OTU_215
618,OTU_360,OTU_311,OTU_736,OTU_551
619,OTU_493,OTU_289,OTU_557,OTU_1134
620,OTU_1195,OTU_562,OTU_379,OTU_510
621,OTU_768,OTU_740,OTU_996,OTU_306
622,OTU_708,OTU_400,OTU_661,OTU_346
623,OTU_772,OTU_914,OTU_377,OTU_323
624,OTU_1102,OTU_387,OTU_170,OTU_272
625,OTU_846,OTU_281,OTU_276,OTU_96
626,OTU_1022,OTU_541,OTU_355,OTU_482
627,OTU_344,OTU_698,OTU_512,OTU_588
628,OTU_1082,OTU_343,OTU_373,OTU_765
629,OTU_795,OTU_897,OTU_371,OTU_230
630,OTU_502,OTU_912,OTU_311,OTU_673
631,OTU_1182,OTU_804,OTU_562,OTU_976
632,OTU_738,OTU_585,OTU_740,OTU_390
633,OTU_504,OTU_223,OTU_387,OTU_1036
634,OTU_425,OTU_564,OTU_281,OTU_936
635,OTU_810,OTU_495,OTU_541,OTU_423
636,OTU_215,OTU_367,OTU_698,OTU_1128
637,OTU_998,OTU_410,OTU_343,OTU_1190
638,OTU_510,OTU_898,OTU_912,OTU_739
639,OTU_346,OTU_310,OTU_804,OTU_924
640,OTU_272,OTU_773,OTU_585,OTU_365
641,OTU_96,OTU_454,OTU_223,OTU_213
642,OTU_494,OTU_540,OTU_564,OTU_689
643,OTU_976,OTU_830,OTU_495,OTU_259
644,OTU_390,OTU_904,OTU_367,OTU_573
645,OTU_1036,OTU_1051,OTU_410,OTU_1219
646,OTU_850,OTU_337,OTU_310,OTU_710
647,OTU_703,OTU_404,OTU_454,OTU_676
648,OTU_936,OTU_992,OTU_540,OTU_497
649,OTU_423,OTU_638,OTU_830,OTU_566
650,OTU_1128,OTU_587,OTU_1051,OTU_778
651,OTU_1190,OTU_333,OTU_337,OTU_478
652,OTU_615,OTU_121,OTU_404,OTU_748
653,OTU_731,OTU_792,OTU_638,OTU_899
654,OTU_739,OTU_565,OTU_587,OTU_929
655,OTU_924,OTU_879,OTU_333,OTU_1098
656,OTU_365,OTU_196,OTU_121,OTU_1000
657,OTU_213,OTU_608,OTU_792,OTU_665
658,OTU_384,OTU_769,OTU_565,OTU_666
659,OTU_885,OTU_549,OTU_196,OTU_821
660,OTU_862,OTU_523,OTU_769,OTU_867
661,OTU_689,OTU_542,OTU_523,OTU_559
662,OTU_259,OTU_1115,OTU_542,OTU_1211
663,OTU_573,OTU_681,OTU_1115,OTU_518
664,OTU_625,OTU_516,OTU_681,OTU_866
665,OTU_1219,OTU_380,OTU_516,OTU_813
666,OTU_710,OTU_242,OTU_242,OTU_375
667,OTU_778,OTU_139,OTU_139,OTU_705
668,OTU_709,OTU_788,OTU_788,OTU_331
669,OTU_478,OTU_858,OTU_858,OTU_732
670,OTU_748,OTU_360,OTU_493,OTU_189
671,OTU_974,OTU_493,OTU_708,OTU_412
672,OTU_126,OTU_1195,OTU_772,OTU_95
673,OTU_1000,OTU_768,OTU_1005,OTU_236
674,OTU_665,OTU_708,OTU_1102,OTU_1118
675,OTU_1211,OTU_772,OTU_846,OTU_1157
676,OTU_723,OTU_1005,OTU_1022,OTU_859
677,OTU_375,OTU_1102,OTU_1082,OTU_946
678,OTU_705,OTU_846,OTU_795,OTU_633
679,OTU_331,OTU_1022,OTU_502,OTU_667
680,OTU_412,OTU_344,OTU_1182,OTU_757
681,OTU_236,OTU_1082,OTU_738,OTU_263
682,OTU_1157,OTU_795,OTU_525,OTU_690
683,OTU_782,OTU_502,OTU_227,OTU_449
684,OTU_633,OTU_1182,OTU_504,OTU_601
685,OTU_848,OTU_576,OTU_425,OTU_711
686,OTU_255,OTU_602,OTU_576,OTU_1030
687,OTU_757,OTU_553,OTU_602,OTU_827
688,OTU_263,OTU_215,OTU_506,OTU_1144
689,OTU_711,OTU_998,OTU_887,OTU_264
690,OTU_1030,OTU_761,OTU_505,OTU_193
691,OTU_546,OTU_322,OTU_543,OTU_304
692,OTU_370,OTU_510,OTU_746,OTU_546
693,OTU_378,OTU_346,OTU_553,OTU_370
694,OTU_399,OTU_96,OTU_810,OTU_963
695,OTU_963,OTU_494,OTU_215,OTU_802
696,OTU_791,OTU_376,OTU_724,OTU_791
697,OTU_822,OTU_230,OTU_812,OTU_918
698,OTU_840,OTU_673,OTU_998,OTU_840
699,OTU_1179,OTU_976,OTU_761,OTU_989
700,OTU_476,OTU_390,OTU_551,OTU_1227
701,OTU_880,OTU_703,OTU_1193,OTU_880
702,OTU_986,OTU_936,OTU_1134,OTU_577
703,OTU_577,OTU_1128,OTU_322,OTU_1173
704,OTU_1085,OTU_1190,OTU_510,OTU_563
705,OTU_85,OTU_615,OTU_306,OTU_1209
706,OTU_1062,OTU_739,OTU_346,OTU_1085
707,OTU_960,OTU_365,OTU_323,OTU_626
708,OTU_58,OTU_384,OTU_272,OTU_832
709,OTU_330,OTU_885,OTU_363,OTU_987
710,OTU_726,OTU_862,OTU_96,OTU_1014
711,OTU_793,OTU_689,OTU_482,OTU_85
712,OTU_883,OTU_259,OTU_588,OTU_960
713,OTU_613,OTU_295,OTU_765,OTU_953
714,OTU_849,OTU_573,OTU_494,OTU_828
715,OTU_728,OTU_625,OTU_1086,OTU_58
716,OTU_129,OTU_1219,OTU_376,OTU_509
717,OTU_734,OTU_358,OTU_1077,OTU_330
718,OTU_869,OTU_1040,OTU_230,OTU_726
719,OTU_994,OTU_710,OTU_673,OTU_793
720,OTU_372,OTU_676,OTU_976,OTU_654
721,OTU_270,OTU_497,OTU_390,OTU_979
722,OTU_901,OTU_566,OTU_1036,OTU_883
723,OTU_300,OTU_892,OTU_703,OTU_911
724,OTU_584,OTU_778,OTU_423,OTU_735
725,OTU_500,OTU_1039,OTU_1128,OTU_613
726,OTU_440,OTU_709,OTU_1190,OTU_849
727,OTU_672,OTU_925,OTU_615,OTU_728
728,OTU_398,OTU_1026,OTU_731,OTU_129
729,OTU_547,OTU_478,OTU_739,OTU_1214
730,OTU_1216,OTU_748,OTU_365,OTU_734
731,OTU_353,OTU_995,OTU_213,OTU_869
732,OTU_876,OTU_899,OTU_384,OTU_994
733,OTU_624,OTU_974,OTU_885,OTU_372
734,OTU_917,OTU_929,OTU_862,OTU_395
735,OTU_474,OTU_1028,OTU_689,OTU_1123
736,OTU_847,OTU_1000,OTU_259,OTU_270
737,OTU_651,OTU_666,OTU_295,OTU_465
738,OTU_438,OTU_867,OTU_573,OTU_1218
739,OTU_1001,OTU_559,OTU_1219,OTU_775
740,OTU_321,OTU_518,OTU_358,OTU_1185
741,OTU_266,OTU_723,OTU_1040,OTU_1095
742,OTU_224,OTU_534,OTU_710,OTU_831
743,OTU_527,OTU_866,OTU_676,OTU_480
744,OTU_900,OTU_813,OTU_497,OTU_863
745,OTU_1089,OTU_375,OTU_566,OTU_799
746,OTU_554,OTU_705,OTU_778,OTU_1084
747,OTU_1207,OTU_331,OTU_709,OTU_901
748,OTU_969,OTU_732,OTU_925,OTU_876
749,OTU_894,OTU_1076,OTU_1026,OTU_436
750,OTU_1015,OTU_774,OTU_478,OTU_816
751,OTU_671,OTU_412,OTU_748,OTU_944
752,OTU_977,OTU_95,OTU_899,OTU_1166
753,OTU_1206,OTU_1017,OTU_929,OTU_1210
754,OTU_801,OTU_1157,OTU_1028,OTU_299
755,OTU_1186,OTU_782,OTU_126,OTU_556
756,OTU_915,OTU_716,OTU_1098,OTU_1165
757,OTU_200,OTU_859,OTU_1000,OTU_550
758,OTU_1137,OTU_932,OTU_665,OTU_514
759,OTU_442,OTU_1131,OTU_908,OTU_362
760,OTU_1159,OTU_946,OTU_666,OTU_340
761,OTU_1176,OTU_973,OTU_867,OTU_1197
762,OTU_1231,OTU_633,OTU_559,OTU_688
763,OTU_614,OTU_848,OTU_1211,OTU_718
764,OTU_583,OTU_757,OTU_518,OTU_695
765,OTU_1170,OTU_219,OTU_723,OTU_919
766,OTU_1189,OTU_798,OTU_866,OTU_737
767,OTU_779,OTU_711,OTU_813,OTU_873
768,OTU_1043,OTU_691,OTU_375,OTU_1052
769,OTU_1232,OTU_1155,OTU_705,OTU_1200
770,OTU_578,OTU_1030,OTU_331,OTU_1196
771,OTU_937,OTU_1135,OTU_1076,OTU_1160
772,OTU_537,OTU_264,OTU_774,OTU_1139
773,OTU_1225,OTU_193,OTU_189,OTU_651
774,OTU_783,OTU_260,OTU_412,OTU_1053
775,OTU_345,OTU_304,OTU_95,OTU_920
776,OTU_868,OTU_546,OTU_1017,OTU_1151
777,OTU_1163,OTU_370,OTU_1157,OTU_999
778,OTU_1013,OTU_780,OTU_716,OTU_1220
779,OTU_586,OTU_507,OTU_927,OTU_438
780,OTU_923,OTU_378,OTU_1034,OTU_931
781,OTU_319,OTU_399,OTU_633,OTU_1001
782,OTU_844,OTU_963,OTU_805,OTU_886
783,OTU_1056,OTU_802,OTU_848,OTU_922
784,OTU_1055,OTU_791,OTU_667,OTU_364
785,OTU_647,OTU_918,OTU_255,OTU_321
786,OTU_1093,OTU_822,OTU_757,OTU_266
787,,OTU_840,OTU_263,OTU_865
788,,OTU_1179,OTU_690,OTU_224
789,,OTU_989,OTU_449,OTU_1221
790,,OTU_476,OTU_601,OTU_229
791,,OTU_1227,OTU_711,OTU_900
792,,OTU_880,OTU_1155,OTU_967
793,,OTU_986,OTU_1030,OTU_682
794,,OTU_577,OTU_959,OTU_1207
795,,OTU_1173,OTU_1224,OTU_969
796,,OTU_1201,OTU_827,OTU_1215
797,,OTU_563,OTU_1144,OTU_853
798,,OTU_1037,OTU_1135,OTU_894
799,,OTU_1205,OTU_264,OTU_1177
800,,OTU_1209,OTU_193,OTU_1007
801,,OTU_1085,OTU_260,OTU_1032
802,,OTU_626,OTU_546,OTU_1088
803,,OTU_891,OTU_370,OTU_855
804,,OTU_987,OTU_780,OTU_345
805,,OTU_85,OTU_507,OTU_1162
806,,OTU_913,OTU_378,OTU_844
807,,OTU_1044,OTU_399,OTU_1114
808,,OTU_1062,OTU_963,OTU_491
809,,OTU_960,OTU_802,OTU_940
810,,OTU_953,OTU_791,OTU_201
811,,OTU_828,OTU_918,OTU_155
812,,OTU_58,OTU_822,OTU_1217
813,,OTU_979,OTU_840,OTU_475
,,OTU_883,OTU_476,
,,OTU_911,OTU_880,
,,OTU_735,OTU_577,
,,OTU_613,OTU_563,
,,OTU_728,OTU_1037,
,,OTU_129,OTU_1209,
,,OTU_734,OTU_1085,
,,OTU_869,OTU_413,
,,OTU_994,OTU_626,
,,OTU_372,OTU_832,
,,OTU_395,OTU_891,
,,OTU_1123,OTU_987,
,,OTU_270,OTU_1014,
,,OTU_831,OTU_85,
,,OTU_863,OTU_960,
,,OTU_901,OTU_58,
,,OTU_300,OTU_509,
,,OTU_441,OTU_793,
,,OTU_984,OTU_883,
,,OTU_605,OTU_735,
,,OTU_584,OTU_613,
,,OTU_500,OTU_849,
,,OTU_985,OTU_728,
,,OTU_1020,OTU_994,
,,OTU_440,OTU_372,
,,OTU_786,OTU_395,
,,OTU_975,OTU_270,
,,OTU_672,OTU_465,
,,OTU_991,OTU_863,
,,OTU_1183,OTU_799,
,,OTU_398,OTU_901,
,,OTU_547,OTU_300,
,,OTU_997,OTU_786,
,,OTU_990,OTU_975,
,,OTU_1216,OTU_991,
,,OTU_353,OTU_398,
,,OTU_1230,OTU_997,
,,OTU_876,OTU_1216,
,,OTU_436,OTU_353,
,,OTU_624,OTU_436,
,,OTU_816,OTU_624,
,,OTU_561,OTU_816,
,,OTU_474,OTU_1203,
,,OTU_1053,OTU_944,
,,OTU_438,OTU_1161,
,,OTU_931,OTU_1146,
,,OTU_321,OTU_1166,
,,OTU_266,OTU_917,
,,OTU_781,OTU_1210,
,,OTU_229,OTU_299,
,,OTU_1113,OTU_556,
,,OTU_1207,OTU_1165,
,,OTU_1015,OTU_1174,
,,OTU_1206,OTU_561,
,,OTU_1170,OTU_550,
,,OTU_1189,OTU_474,
,,OTU_779,OTU_847,
,,OTU_729,OTU_514,
,,OTU_760,OTU_688,
,,OTU_817,OTU_920,
,,OTU_928,OTU_1001,
,,OTU_713,OTU_886,
,,OTU_1042,OTU_321,
,,OTU_1153,OTU_224,
,,OTU_857,OTU_527,
,,OTU_1006,OTU_471,
,,OTU_1145,OTU_719,
,,OTU_1072,OTU_781,
,,OTU_1117,OTU_1221,
,,OTU_491,OTU_229,
,,OTU_470,OTU_900,
,,OTU_916,OTU_1089,
,,OTU_888,OTU_730,
,,OTU_751,OTU_952,
,,OTU_752,OTU_1087,
,,OTU_1081,OTU_349,
,,OTU_1108,OTU_554,
,,OTU_1099,OTU_611,
,,OTU_1199,OTU_970,
,,OTU_1107,OTU_1113,
,,OTU_1168,OTU_1158,
,,OTU_829,OTU_967,
,,OTU_1069,OTU_1015,
,,,OTU_200,
,,,OTU_1159,
,,,OTU_797,
,,,OTU_754,
,,,OTU_1231,
,,,OTU_614,
,,,OTU_875,
,,,OTU_1110,
,,,OTU_941,
,,,OTU_1109,
,,,OTU_955,
,,,OTU_1126,
,,,OTU_583,
,,,OTU_578,
,,,OTU_537,
,,,OTU_345,
,,,OTU_770,
,,,OTU_508,
,,,OTU_785,
,,,OTU_1162,
,,,OTU_1013,
,,,OTU_1141,
,,,OTU_771,
,,,OTU_1149,
,,,OTU_902,
,,,OTU_1114,
,,,OTU_888,
,,,OTU_1154,
,,,OTU_1138,
,,,OTU_1150,
,,,OTU_201,
,,,OTU_155,
,,,OTU_475,
