No,Healthy,HBVI,CHB,LC
70,OTU_271,OTU_397,OTU_161,OTU_161
71,OTU_15,OTU_36,OTU_397,OTU_397
72,OTU_232,OTU_271,OTU_36,OTU_36
73,OTU_80,OTU_15,OTU_271,OTU_271
74,OTU_225,OTU_232,OTU_935,OTU_935
75,OTU_632,OTU_80,OTU_15,OTU_15
76,OTU_790,OTU_225,OTU_232,OTU_232
77,OTU_457,OTU_632,OTU_80,OTU_80
78,OTU_477,OTU_790,OTU_225,OTU_225
79,OTU_191,OTU_457,OTU_632,OTU_632
80,OTU_14,OTU_477,OTU_790,OTU_790
81,OTU_313,OTU_191,OTU_457,OTU_457
82,OTU_481,OTU_14,OTU_477,OTU_477
83,OTU_47,OTU_313,OTU_191,OTU_191
84,OTU_636,OTU_481,OTU_14,OTU_14
85,OTU_678,OTU_47,OTU_313,OTU_313
86,OTU_176,OTU_636,OTU_707,OTU_707
87,OTU_21,OTU_678,OTU_749,OTU_749
88,OTU_1143,OTU_176,OTU_1187,OTU_1187
89,OTU_639,OTU_21,OTU_481,OTU_481
90,OTU_103,OTU_1027,OTU_47,OTU_47
91,OTU_152,OTU_1143,OTU_636,OTU_636
92,OTU_74,OTU_907,OTU_678,OTU_678
93,OTU_1083,OTU_639,OTU_176,OTU_176
94,OTU_12,OTU_103,OTU_21,OTU_21
95,OTU_46,OTU_152,OTU_1027,OTU_1027
96,OTU_279,OTU_74,OTU_1143,OTU_1143
97,OTU_1071,OTU_1083,OTU_907,OTU_907
98,OTU_720,OTU_12,OTU_639,OTU_639
99,OTU_434,OTU_46,OTU_103,OTU_103
100,OTU_226,OTU_279,OTU_152,OTU_152
101,OTU_205,OTU_1071,OTU_74,OTU_74
102,OTU_117,OTU_720,OTU_1083,OTU_1083
103,OTU_71,OTU_434,OTU_12,OTU_12
104,OTU_315,OTU_226,OTU_46,OTU_46
105,OTU_3,OTU_205,OTU_279,OTU_279
106,OTU_104,OTU_117,OTU_1071,OTU_1071
107,OTU_98,OTU_71,OTU_1003,OTU_720
108,OTU_63,OTU_315,OTU_720,OTU_434
109,OTU_60,OTU_3,OTU_434,OTU_226
110,OTU_308,OTU_104,OTU_226,OTU_205
111,OTU_53,OTU_98,OTU_205,OTU_117
112,OTU_50,OTU_63,OTU_117,OTU_71
113,OTU_41,OTU_60,OTU_71,OTU_582
114,OTU_29,OTU_308,OTU_582,OTU_315
115,OTU_9,OTU_53,OTU_315,OTU_3
