Samples,Category,Bifidobacterium longum,Actinomyces odontolyticus,Leptotrichia hofstadii,Leptotrichia genomosp,Leptotrichia sp.,Leptotrichia hongkongensis,Fusobacterium periodonticum,Alistipes shahii,Prevotella sp.,Muribaculum intestinale,Prevotella conceptionensis,Alistipes onderdonkii,Alistipes obesi,Butyricimonas paravirosa,Prevotellamassilia timonensis,Bacteroides eggerthii,Alistipes sp.,Barnesiella intestinihominis,Lactobacillus mucosae,Okadaella gastrococcus,Howardella ureilytica,Lactobacillus salivarius,Parasporobacterium paucivorans,Acetanaerobacterium sp.,Dialister sp.,Coprococcus sp.,Solobacterium moorei,Intestinimonas massiliensis,Selenomonas sp.,Anaerofilum sp.,Peptostreptococcaceae bacterium,Paludicola psychrotolerans,Lachnoanaerobaculum saburreum,Anaerotruncus colihominis,Oscillibacter sp.,Peptostreptococcus stomatis,Gemella haemolysans,Ruminococcaceae bacterium,Clostridiales bacterium,Pseudoflavonifractor capillosus,Ruminococcus callidus,Streptococcus anginosus,Anaerostipes hadrus,Kineothrix alysoides,Campylobacter concisus,Desulfovibrio sp,Campylobacter showae,Eikenella corrodens,Succinivibrio dextrinosolvens
N42,Healthy,0.000466667,6.67E-05,0,0,0,0,0,0.0003,0,0,0,0.000266667,0,0,0,0,3.33E-05,0.003033333,0,0,0,0,3.33E-05,0,0.0311,0,0,0.000866667,0,0,0.0000667,0,0,0,0,0,0,0.001266667,3.33E-05,3.33E-05,0,0,0,3.33E-04,0,0,0,0,0
N43,Healthy,0.000133333,0,0,0,0,0,0,0.001066667,0,0,0,0.0021,0.0017,0,0,0.0178,0,0,0,3.33E-05,0,0.0008,0.0037,0,0.022733333,0.011066667,0,0.0012,0,0,0.000166667,3.33E-05,0,3.33E-05,6.67E-05,0,0,0,0,0,0.0056,0,3.33E-05,3.33E-03,0,0,0,0,0
N44,Healthy,0,0,0,0,0,0,0,0.002766667,0,0,0,0.000233333,0.0004,0,0,0,0,0.000466667,0,0,0,0,0.004733333,0,0.0001,0.01,0,0.001466634,0.0000333,0,0.0013,3.33E-05,0,0,0.0001,0,0,0.0198,0.000566667,0.0001,0,0,0,3.47E-03,0,0,0,0,0
N45,Healthy,0.00248139,0,0,0,0,0,0,0,0,0,0,0.003722084,0,0,0,0,0,0.001240695,0,0,0,0,0,0,0.006203474,0.004962779,0,0.00248139,0,0,0,0,0,0,0,0,0,0,0,0.001240695,0.006203474,0,0,1.24E-03,0,0,0,0,0
N72,Healthy,0.000133333,3.33E-05,0,0,0,0,0,0.002933333,0,0,0,0.001333333,0.000266667,3.33E-05,0,0.004366667,0.001866667,0.013333333,3.33E-05,0,0,0,0.001266667,0,0.0005,0.000166667,0,0.003433334,0,0,0.0007,3.33E-05,0,3.33E-05,0,0,0,0.0034,0.002366667,0.0001,0.0007,0,0,6.30E-03,0,0,0,0,0
ZR4_12,LC,0,0.000733333,0,0,0,0,0.000333333,3.33E-05,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.0001,0,0,0,0.0001,6.67E-05,3.33E-05,0,0.000533367,0,0,0,3.33E-05,0.000166667,0,0.000366667,3.33E-05,3.33E-05,0,0,0,0.0006,0,3.33E-05,0,0,0,0,0
ZR4_14,CHB,0.000333333,6.67E-05,0,0,0,0,0.002133333,0,0,0,0,0,3.33E-05,0,0,0,0,0,0.025866667,0,0,0.099933333,0,0,0,3.33E-05,0,0.002566667,0.0000333,0,0,3.33E-05,0,0,0.0002,6.67E-05,0,0,0,0,0.001133333,0.000366667,0,1.33E-04,0.0001,0,0,0,0
ZR4_15,CHB,0.032733333,0.000133333,0,0,0,0,3.33E-05,0.0061,0,0,0,0.002266667,0.000333333,0.0004,0,0.002166667,0.007166667,0,3.33E-05,3.33E-05,0,0.000333333,0,0,0,3.33E-05,3.33E-05,0.000866667,0,0,0,0,0,6.67E-05,6.67E-05,3.33E-05,3.33E-05,0.029,0.001666667,0.000266667,0,0,3.33E-05,5.00E-04,0,0,0,0,0
ZR4_16,HBVI,6.67E-05,0.000133333,0,0,0,0,6.67E-05,0.0026,0,0,0,0.004166667,0.001266667,0.0001,0,0,0.0005,0.012166667,0.000166667,0.000266667,0,0,0.000433333,0,0,0.0263,3.33E-05,0.002633333,0,0,0.001866667,0.000133333,3.33E-05,3.33E-05,3.33E-05,6.67E-05,0.0002,0.010966667,0.002566667,0.000233333,0.0004,0.0001,0,3.53E-03,0,0,0,0,0
ZR4_19,HBVI,0.002233333,0.000233333,0,0,0,0,0.002566667,0.004366667,0,0,0,0.008033333,0.000266667,0.0001,0,0,0.0002,0,0,3.33E-05,0,0,0,3.33E-05,0,0,0,0.015833333,0,0,0.0000333,0,0,0.000266667,6.67E-05,0,6.67E-05,0,0.000166667,0,0.0011,6.67E-05,0,8.67E-04,0,0,0,0,0
ZR4_2,CHB,0.000666667,0.000433333,0,0,0,0,3.33E-05,0.001766667,0,0,0,0.012133333,0,0.001233333,0,0.0015,0.0009,0,0,3.33E-05,0,0.000766667,0,0,0,0,0,0.0000333,0,0,0,0,0,0.0032,6.67E-05,0.0001,0.0001,0,0,0.0001,0,0,0,3.33E-05,0,0,0,0,0
ZR4_22,CHB,3.33E-05,3.33E-05,0,0,0,0,0,0.001266667,0,0,0,0.0002,0.000133333,0,0,0,0.0001,3.33E-05,0,3.33E-05,0,0.0005,0.000233333,0,0,0.000233333,0,0.001766667,0,0.0002,0.0000667,0,0,0.001866667,0.0002,0,0,0.001,0.000733333,6.67E-05,0.000633333,6.67E-05,0,3.33E-05,0,0,0,0,0
ZR4_23,LC,0.002166667,0,0,0,0,0,0,0.000733333,0,0,0,0.0047,3.33E-05,0.000166667,0,0,0.0007,0.0012,0.000233333,0.000366667,0.000133333,0.019966667,0.0002,0,0,0.0002,3.33E-05,0.002433333,0,0,0,0,0,3.33E-05,6.67E-05,3.33E-05,0.0001,0.035833333,0,0.000133333,0.000266667,0.003466667,0,6.67E-04,0,0,0,0,0
ZR4_26,LC,0.001066667,6.67E-05,0,0,0.000633333,3.33E-05,0.005866667,0,0,0,0,0,6.67E-05,0,0,0,0,0,3.33E-05,6.67E-05,0,0.000166667,0,0,0,3.33E-05,0,0.0000333,0,0,0.0000333,0,0,0,0,0.002,0.000266667,0,3.33E-05,0,0,0.0002,0,0.00E+00,0,0,0,0.000233333,0
ZR4_27,LC,0,0.000133333,0,0,0,0,0,0,0,0,0,0.0002,0,0,0,0,0,0,0,0,0,0.000233333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67E-04,0,0,0,0,0
ZR4_28,LC,0,0.000433333,0,0,0,0,3.33E-05,0.000833333,0,0,0,0.000933333,0,0,0,0,0,0.000166667,3.33E-05,0.0002,0,0,0,0,0,0,0,0,0.000166633,0,0,0,0,0,0,0.000133333,0.0016,3.33E-05,0,0,0,0.0002,0,1.33E-04,0,0,3.33E-05,3.33E-05,0
ZR4_30,CHB,3.33E-05,6.67E-05,0,0,0,0,0,0.002633333,0,0,0,0.000766667,0,3.33E-05,0,0,0.000266667,0,0.0013,0,0,3.33E-05,0.000533333,0,0,0,0,0.000766667,0,0,0.0000333,0,0,0,0,0,0,0.002266667,0.000133333,0,0.004133333,0,0,6.00E-04,3.33E-05,0,0,0,0
ZR4_31,LC,0,0.000166667,0,0,0,0,0.008533333,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0,0.0038,0,0,0,0,0,0,0.0001,0,0,0,6.67E-05,0,0,0.000233333,0.000333333,3.33E-05,0,0.000233333,3.33E-05,0.000933333,0,0.00E+00,3.33E-05,0,0,0,0
ZR4_33,LC,3.33E-05,0.000166667,3.33E-05,0.001433333,0.0017,0.0009,0.005633333,0,0,0,0,0.0001,0,0,0,0,6.67E-05,0,3.33E-05,0.000266667,0,3.33E-05,3.33E-05,0,3.33E-05,3.33E-05,6.67E-05,0.0000667,0.0015,0,0,0,0.0003,0,0,0.000366667,0.0006,0.000333333,0,0,3.33E-05,0,0,6.66E-05,0.000866667,0,0.000233333,0.000666667,0
ZR4_35,CHB,0.027466667,6.67E-05,0,0,0,0,0,0.001,0,0,0,0.0001,0.0005,0,0,0,0,0.001333333,0.0003,3.33E-05,0,0.0025,3.33E-05,0,0,0.028566667,0,0.0023,0,0,0.000133333,0,0,0,0,0,0,0.0016,0.0005,0,0,0.000133333,0,8.00E-04,0,0,0,0,0
ZR4_36,CHB,0.005966667,6.67E-05,0,0,0,0,0.000366667,0.0002,0,0,0,0.008633333,0.000166667,3.33E-05,0,0.0001,0.0001,0.003733333,0,3.33E-05,0,0.0001,0,0,0,0.000133333,3.33E-05,0.001033333,0,3.33E-05,0.00E+00,0,0,3.33E-05,0,0,0,0.002366667,0,0,0,6.67E-05,0,3.33E-05,0,0,0,0,0
ZR4_38,LC,0,0.003233333,0,0.0002,0,0.001133333,0.006266667,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,0,0.000133333,0,0,0,0,0.000266667,0,0.0006333,0,0.0000333,0,0.0008,0,0,0.000366667,0.000233333,0,0,0,0,0.0009,0,0.00E+00,0.0002,0,0,0,0
ZR4_39,LC,0,0.000333333,0,0,0,0,0.0022,0.0003,0,0,0,0.0008,0,0,0,0,0,0,0,0.000333333,0,0.0024,0,0,0,0,0,0,0.0000667,0,0.000133333,0,0.0004,0.000133333,3.33E-05,0.000466667,0.0001,0,0,0,0,0.004633333,0,6.66E-05,3.33E-05,0,3.33E-05,3.33E-05,0
ZR4_41,LC,0,0.000266667,0,0,3.33E-05,3.33E-05,0.002833333,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,3.33E-05,0,0,0,0,0,0.000166667,0,0,0,0,0,0,0,0.0012,0,6.67E-05,0,0,0.000166667,0,3.33E-05,0.000333333,0,0,0.0002,0
ZR4_44,LC,3.33E-05,0.0003,0,0,0,0,0,0.000133333,0,0,0,0.0002,0,0,0,0,0.000166667,0,0.002733333,0.000766667,0,0.0071,0,0,0,0,3.33E-05,0.0003,0,0,0.0001,0,6.67E-05,0,0,6.67E-05,0.000333333,0.0008,0,0,0,0.0008,0,3.67E-04,0,0,0,0,0
ZR4_45,CHB,0,6.67E-05,0,0,0,0,0,0.001433333,0,0,0,0.010266667,0,0.0003,0,0.007733333,0.000233333,0.005066667,0,3.33E-05,0,3.33E-05,0.000366667,3.33E-05,0,3.33E-05,0,0.021166667,0,0,0.0006,3.33E-05,0,0.000233333,0.0002,0,0,0.0017,0.0008,0.0001,0.0024,6.67E-05,0,2.70E-03,0,0,0,0,0
ZR4_46,LC,0.001633333,6.67E-05,0,0,0,0,0.000233333,0.000733333,0,0,0,0.0027,3.33E-05,6.67E-05,0,0,3.33E-05,0.002333333,0.000133333,6.67E-05,0,3.33E-05,0.0002,0,3.33E-05,0.000366667,0,0.000166667,0,6.67E-05,1.67E-04,0,0,3.33E-05,0,6.67E-05,0,0.006233333,0.000233333,0,0.0004,0.000133333,0,6.67E-05,6.67E-05,0,0,0,0
ZR4_52,HBVI,0.0006,0.000133333,0,0,3.33E-05,0,0.000533333,0.000333333,0,0,0,0.001066667,0.000266667,3.33E-05,0,0,3.33E-05,0.0021,3.33E-05,0.000333333,0,0,0.000133333,0,0.018966667,0.0006,3.33E-05,0.000233333,0.0005,0,0.0001,3.33E-05,0,0,0,0,0,0.0015,0.000366667,0,0,0,0,1.33E-04,0,0,0,0,0
ZR4_53,CHB,0.0033,0,0,0,0,0,0,0.001,0,0,0,0.010566667,0.000466667,3.33E-05,0,0.0018,0.000133333,0.0053,0,0,0,0,0.001,3.33E-05,0.027566667,0.0414,0,0.0021,0,0,0.001933333,0,0,0,0,0,0,0.007833333,0.000433333,0,0.0073,3.33E-05,0,2.00E-04,0,0,0,0,0
ZR4_54,HBVI,6.67E-05,0.0001,0,0,0,0,6.67E-05,0.001866667,0,0,0,0.0047,0.0006,0.000133333,0.000133333,0,0.000866667,0.005566667,6.67E-05,0,0,0.000333333,0.003133333,0.000333333,0.010566667,0.014066667,0,0.0032,0,0.000133333,0.000333333,0.001533333,0,6.67E-05,0,0,0,0.0094,0.001866667,6.67E-05,3.33E-05,0,0.000133333,1.17E-03,0,0,0,0,0
ZR4_55,CHB,0.022366667,0.002366667,0,0,0,0,0.0013,0,0,0,0,0.0026,0,0,0,0,0,3.33E-05,0.026233333,0.0024,0,0.042666667,0.0001,0,6.67E-05,3.33E-05,3.33E-05,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0.0096,0,0.003366667,0,3.00E-04,0,0,0,0,0
ZR4_57,CHB,0.001233333,0.000266667,0,0,0,0,0.0001,0.000433333,0,0,0,6.67E-05,0.0022,0.001233333,0,0,0.0065,0,0.010266667,6.67E-05,0,0.015766667,6.67E-05,0,0,0,3.33E-05,0.012133334,0,3.33E-05,1.00E-04,0,0,0.000133333,0.0001,0.000633333,6.67E-05,0.0374,0,0.000133333,0.004466667,0.001666667,0,3.33E-04,0,0,0,0,0
ZR4_59,LC,0.017433333,0.001366667,0,0,0,0,0,0,0,0,0,0,3.33E-05,0,0.0000333,0,0,0,3.33E-05,0.0009,0,3.33E-05,0,0,0,0.000133333,0,0.0000667,0.0000667,0,0,0,0,0,0,3.33E-05,0.0029,6.67E-05,0,0,3.33E-05,0.000933333,0,8.00E-04,0,0,0,3.33E-05,0
ZR4_63,LC,0,6.67E-05,0,0,0,0,3.33E-05,0,3.33E-05,0,0,0,0,0,0,0,0,0,3.33E-05,3.33E-05,0,0,0,0,0,3.33E-05,0,0,0,0,0,0,0.000533333,0,0,0,0,3.33E-05,0,0,0,0,0,0.00E+00,6.67E-05,0,0,0.008466667,0
